ID,시나리오,STO비율,시장환경,금융VaR95,금융ES95,회수율,동시부실10%,전이시간,전이확률,개인VaR95,개인손실률,확장VaR95
1,STO15%-정상,15%,정상,"12,660","13,668",67.5%,100.0%,1.9,99.1%,"1,048",0.02%,"14,189"
2,STO15%-침체,15%,침체,"12,654","13,543",68.0%,100.0%,1.9,99.2%,"1,026",0.02%,"14,141"
3,STO15%-위기,15%,위기,"12,588","13,451",68.2%,100.0%,1.9,99.5%,998,0.02%,"14,042"
4,STO28%-정상 (기준),28%,정상,"11,122","11,951",78.5%,100.0%,2.2,98.0%,"1,923",0.02%,"13,489"
5,STO28%-침체,28%,침체,"11,037","12,017",78.3%,100.0%,2.1,98.8%,"1,865",0.02%,"13,337"
6,STO28%-위기,28%,위기,"11,246","12,061",77.8%,100.0%,2.0,99.3%,"1,803",0.02%,"13,473"
7,STO40%-정상,40%,정상,"9,798","10,727",87.1%,100.0%,2.5,96.4%,"2,656",0.02%,"12,868"
8,STO40%-침체,40%,침체,"9,938","10,811",86.1%,100.0%,2.3,97.6%,"2,551",0.02%,"12,854"
9,STO40%-위기,40%,위기,"10,163","11,114",85.4%,100.0%,2.2,97.8%,"2,470",0.02%,"12,942"
0,기존PF-정상,0%,정상,"19,147","20,012",22.2%,100.0%,1.7,100.0%,-,-,-
10,기존PF-침체,0%,침체,"19,029","20,055",22.4%,100.0%,1.7,100.0%,-,-,-
11,기존PF-위기,0%,위기,"18,987","19,916",22.5%,100.0%,1.7,100.0%,-,-,-
